Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
photo personnalisé avec cadre,EUR,50,0%,0%,High,100,0.007310875,0.022306874
objet personnalisable avec photo,EUR,50,0%,0%,High,100,0.005248925,0.014177412
cadeau noce froment,EUR,50,0%,0%,High,98,0.001862438,0.003617948
noces de froment,EUR,5000,0%,0%,Low,19,0.002243858,0.005926353
cadeau fete des mere photo,EUR,500,0%,0%,High,100,0,0
idée cadeau noël femme personnalisé,EUR,50,0%,-90%,High,100,0.003443538,0.008651713
sweat photo personnalisé,EUR,50,900%,0%,High,100,0.007014867,0.016829748
cadeau pour la fête des grands mères,EUR,5000,-90%,-90%,High,100,0.001858852,0.007152765
boîte photo surprise personnalisé,EUR,50,0%,0%,High,100,0.005296521,0.012815711
cadeau noce de cristal femme,EUR,50,0%,0%,High,100,0.002656248,0.008299633
idee de cadeau pour la fete des meres,EUR,5000,-90%,-90%,High,94,0,0
cadeau noël homme personnalisé,EUR,50,900%,0%,High,100,0.002778824,0.008004603
idee cadeau photo grand parent,EUR,50,0%,0%,High,100,0,0
cadeau 1 an de mariage ami,EUR,50,0%,0%,High,100,0,0
faire imprimer un tee shirt avec une photo,EUR,50,0%,0%,High,100,0.003968724,0.017382644
cadre xxl personnalisé,EUR,50,0%,0%,High,100,0.007810959,0.0188516
personnaliser un tee shirt avec photo,EUR,50,0%,0%,High,100,0.005759441,0.015781332
chaussettes personnalisées avec photos,EUR,50,900%,0%,High,100,0.004340364,0.013021091
cadeau original fete des mere,EUR,50,0%,-100%,Unknown,,0,0
cadre bois photo personnalisé,EUR,50,0%,0%,High,100,0.004930749,0.019433184
cadeau pour papi et mamie,EUR,50,900%,0%,High,100,0.001713456,0.005757159
accessoire avec photo personnalisé,EUR,50,0%,0%,High,100,0.006292777,0.012524267
cadeau grand mere photo,EUR,50,0%,0%,High,100,0.005839637,0.016155254
cadeau noces de froment homme,EUR,500,-90%,0%,High,100,0.00135453,0.003747044
1 an de mariage idée cadeau,EUR,500,-90%,0%,High,100,0.001692592,0.004331236
poster personnalisé avec plusieurs photos,EUR,50,0%,0%,High,100,0.005860827,0.029569501
boule de noel neige personnalisée,EUR,50,900%,900%,High,100,0.0040913,0.012773331
cadeau noces de chypre,EUR,50,0%,0%,High,100,0,0
idée cadeau noces de bois,EUR,50,0%,0%,High,100,0.00235372,0.008442421
personnaliser taie d oreiller,EUR,50,0%,0%,High,100,0.003440604,0.009883015
noce de perle cadeau,EUR,500,-90%,0%,High,100,0.00213856,0.007349017
article personnalisé photo,EUR,50,0%,0%,High,100,0.008133373,0.018443774
idee de cadeau avec photo,EUR,50,0%,-90%,High,100,0.004407194,0.012897211
cadeau pour maman original,EUR,500,900%,0%,High,100,0.001862438,0.007781293
plaque militaire personnalisé avec photo,EUR,50,0%,0%,High,100,0,0
idee de cadeau pour grand parents,EUR,500,0%,-90%,High,100,0.00125673,0.004571823
personnaliser un cadre,EUR,50,0%,0%,High,100,0.005188941,0.01826969
cadeau original anniversaire de mariage,EUR,500,-90%,-90%,High,100,0.001897646,0.006749503
cadre personnalisé grand parent,EUR,50,900%,0%,High,100,0.00426571,0.012964367
imprimer photo tee shirt,EUR,500,0%,0%,High,100,0.005167099,0.016763244
cadre photo lego personnalisé,EUR,500,900%,0%,High,100,0.00189732,0.005894731
idée cadeau noce de coton pour homme,EUR,50,0%,?,High,100,0,0
cube avec photo personnalisé,EUR,50,0%,0%,High,100,0.002024134,0.008398737
taie d oreiller personnalisé avec photo,EUR,50,0%,0%,High,100,0.003555356,0.010474379
cadeau noce de coton pour homme,EUR,500,-90%,0%,High,100,0.002201152,0.006180307
cadre photo personnalisé prenom,EUR,50,0%,-90%,High,100,0.003634574,0.010459709
photo toile personnalisé pas cher,EUR,50,900%,0%,High,100,0.008371679,0.028683107
cadeau de noel avec photo,EUR,50,0%,0%,High,97,0.005938415,0.017678
personnalisation objet photo,EUR,5000,0%,0%,High,100,0.005351615,0.013401533
cadre aimanté personnalisé,EUR,50,0%,0%,High,100,0.006069467,0.012622393
cadeau marraine photo,EUR,50,0%,0%,High,100,0.003471248,0.012984579
cadeau anniversaire mariage amis,EUR,50,0%,0%,High,100,0,0
objet à personnaliser avec photo,EUR,500,900%,0%,High,100,0.004770683,0.012818971
livre photo personnalisé fete des meres,EUR,50,0%,-100%,Unknown,,0,0
cadre photo personnalisé coeur,EUR,50,0%,0%,High,100,0.004855769,0.013746114
coque xr personnalisé,EUR,50,0%,0%,High,100,0.003555682,0.009354243
idee cadeau noce de laine,EUR,500,0%,0%,High,100,0.001959586,0.007429213
cadeau personnalisé photo pas cher,EUR,50,0%,0%,High,100,0.004809477,0.012815711
cadeau a partir de photo,EUR,50,0%,0%,High,100,0.006761891,0.034880692
livre de noel personnalisé avec photo,EUR,50,0%,-90%,High,100,0.006054797,0.025618381
cadeau noel famille personnalisé,EUR,50,900%,0%,High,100,0.003043536,0.010349521
tableau personnalisé anniversaire,EUR,50,0%,0%,High,100,0.003809962,0.010106651
créer tee shirt personnalisé avec photo,EUR,50,0%,0%,High,100,0.005841593,0.023353985
idée cadeau 1 an de mariage homme,EUR,50,0%,0%,High,100,0,0
cadeau anniversaire avec photo,EUR,50,0%,0%,High,100,0,0
cadeau noces de cristal,EUR,50,0%,0%,High,100,0,0
idée cadre photo personnalisé,EUR,50,0%,-90%,High,100,0.006515109,0.024713079
cadeau pour mamie et papy,EUR,50,900%,0%,High,100,0.00192177,0.005757159
boîte à tartine personnalisée avec photo,EUR,50,0%,0%,Unknown,,0,0
photo en porte clé,EUR,5000,900%,0%,High,100,0.004247454,0.011230373
boule de noel personnalisée photobox,EUR,50,0%,0%,High,100,0.00270906,0.007139399
boule a neige de noel personnalisée,EUR,50,0%,0%,High,100,0.00450043,0.010834609
cadeau anniversaire de mariage pour son mari,EUR,50,0%,0%,High,100,0,0
idee cadeau arriere grand parent,EUR,50,900%,0%,High,100,0.00135453,0.00393156
cadeau photo bapteme,EUR,50,0%,0%,High,100,0,0
smartbox anniversaire de mariage,EUR,50,-100%,-100%,Unknown,,0,0
plaques spotify personnalisée,EUR,500,900%,0%,High,100,0.005234581,0.01842454
cadeaux noces de bois,EUR,50,0%,0%,High,100,0.00288673,0.012725735
cadre photo gravure personnalisé,EUR,500,0%,-90%,High,100,0.005675333,0.018152656
cadeau original fete des mamies,EUR,50,?,0%,High,100,0,0
portrait personnalisé photo,EUR,50,0%,0%,High,100,0.006384709,0.016798126
cadeau noël personnalisé pas cher,EUR,50,0%,-90%,High,100,0.002540192,0.008550979
cadre geant personnalisé,EUR,50,0%,0%,High,100,0.007796289,0.015886956
poster photo personnalisé pas cher,EUR,50,0%,0%,High,100,0.004643217,0.022996037
quoi offrir a ses grands parents,EUR,50,900%,0%,High,100,0.00109862,0.006346241
cadre photo anniversaire personnalisé,EUR,50,-90%,0%,High,100,0.003966442,0.012778547
cadre andy warhol personnalisé,EUR,50,0%,0%,High,100,0,0
cadeau cube photo,EUR,50,0%,0%,High,100,0.004834579,0.012119049
cadeau bapteme grand parents,EUR,500,0%,0%,High,82,0.001739862,0.007856925
idée cadeau cadre personnalisé,EUR,50,0%,0%,High,100,0.00414835,0.011985063
cadeau pour un anniversaire de mariage,EUR,5000,-90%,-90%,High,100,0.001986644,0.007493435
chandelle personnalisé photo,EUR,50,?,?,High,100,0,0
cadeau d anniversaire mariage,EUR,50,0%,0%,High,100,0.002601806,0.010267369
cadeau fete des grand mere photo,EUR,50,-100%,-100%,Unknown,,0,0
porte clé pour photo,EUR,500,0%,0%,High,100,0.001270096,0.007086913
cadeau noces de coton homme,EUR,500,-90%,0%,High,100,0.002201152,0.006180307
cadre personnalisé fete des meres,EUR,500,-100%,0%,Unknown,,0,0
cadeau photo personnalisé pas cher,EUR,50,0%,0%,High,100,0.004809477,0.012815711
cadeau pour premiere fete des meres,EUR,500,0%,0%,Low,0,0,0
porte clé personnalisé rouleau,EUR,50,-100%,-100%,Unknown,,0,0
quoi offrir pour un anniversaire de mariage,EUR,500,0%,0%,High,100,0.001177838,0.012747251
pull noël famille personnalisé,EUR,50,0%,-90%,High,100,0.003252502,0.011049443
cadeau fete des grand mere avec photo,EUR,50,0%,0%,High,100,0,0
porte clé photo spotify,EUR,50,?,0%,High,100,0,0
cadeau pour la meilleure des mamans,EUR,50,0%,0%,High,100,0.004541506,0.010247157
idée cadeau de noel personnalisé,EUR,50,900%,0%,High,100,0.002770348,0.009917571
objets personnalisés avec photos,EUR,50,0%,0%,High,100,0.003690646,0.012001037
boule de noel mon premier noel personnalisée,EUR,50,0%,0%,High,100,0.002532368,0.009990921
cadeau d anniversaire de mariage pour homme,EUR,50,0%,0%,High,100,0.001967736,0.004919013
idée cadeau pour ma maman,EUR,50,900%,0%,High,100,0.001693244,0.007066701
tirelire personnalisée photo,EUR,50,0%,0%,High,100,0.00314427,0.008870459
cadeau photo amoureux,EUR,50,0%,0%,High,100,0.003294556,0.009022701
cadeau noce de muguet,EUR,500,0%,0%,High,100,0.001220544,0.003988936
noce coton cadeau,EUR,50,0%,0%,High,100,0.001937092,0.004415018
photo personnalisé pas cher,EUR,50,0%,0%,High,100,0.004375572,0.016003664
porte clés homme personnalisé photo,EUR,50,0%,0%,High,100,0.003881682,0.006682999
cadeau noel personnalisé pas cher,EUR,50,0%,-90%,High,100,0.002540192,0.008550979
cadeau noce de plomb,EUR,500,0%,0%,High,100,0.001582078,0.004530096
personnaliser une photo en ligne,EUR,50,0%,0%,High,100,0.006449257,0.016884842
gravure photo sur bois personnalisé,EUR,50,0%,0%,High,100,0.003889832,0.009034111
cadeau pour papy et mamie noel,EUR,50,900%,0%,High,99,0.00186146,0.005273701
photo portrait personnalisé,EUR,50,0%,0%,High,100,0.005890493,0.016082882
cadeau femme photo,EUR,50,0%,0%,High,100,0.004785679,0.012251731
idée cadeau noce de coton homme,EUR,50,0%,0%,High,100,0,0
idée de cadeau anniversaire de mariage,EUR,5000,0%,0%,High,100,0.00152405,0.006206387
cadeau photo sur toile,EUR,50,0%,0%,High,100,0.014924604,0.033895846
cadeau bois anniversaire mariage,EUR,50,0%,0%,High,100,0,0
cadeau naissance grand parents,EUR,50,0%,0%,High,100,0.001939374,0.009314145
idée cadeau avec des photos,EUR,500,900%,0%,High,100,0.004099124,0.012562083
cadre photo personnalisé anniversaire,EUR,50,0%,0%,High,100,0.004417952,0.01569592
porte clé porte photo,EUR,50,900%,0%,High,99,0.00153546,0.009208521
cadeau homme anniversaire mariage,EUR,500,0%,0%,High,100,0.00187287,0.006061969
cadre photo gravé baptême,EUR,50,-100%,-100%,Unknown,,0,0
livre personnalisé de noel,EUR,50,0%,0%,High,100,0.005502227,0.019455352
cadeau noel papa personnalisé,EUR,50,900%,0%,High,100,0.003012566,0.009627757
idée cadeau pour sa mère,EUR,500,900%,0%,High,100,0.001916554,0.008296373
cadeau fête des mères photo,EUR,500,0%,0%,High,100,0,0
quoi offrir noce de coton,EUR,50,0%,0%,High,100,0,0
noce de froment cadeau homme,EUR,50,0%,0%,High,100,0,0
boutique cadeau anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
boule de noel personnalisée premier noel,EUR,50,0%,-90%,High,100,0.00285902,0.009899641
cadeau toile photo,EUR,50,0%,0%,High,100,0.014924604,0.033895846
cadeau noces de cuir pour femme,EUR,50,0%,0%,High,100,0.002926828,0.006444693
cadre photo avec message personnalisé,EUR,50,0%,0%,High,100,0.005097009,0.012528505
noce de cristal cadeau,EUR,500,-90%,0%,High,100,0.001694222,0.005484297
cadeau personnalisé photo lumiere,EUR,0,0%,-100%,Unknown,,0,0
noce de corail cadeau,EUR,500,-90%,0%,High,100,0.001947198,0.004454138
article personnalisé avec photo,EUR,50,0%,0%,High,100,0.004551285,0.013327857
cadeau photo meilleure amie,EUR,50,0%,0%,High,100,0.004966283,0.008647475
poster photo anniversaire,EUR,50,0%,0%,High,100,0.00447598,0.019753316
mémo personnalisé photo,EUR,50,0%,0%,High,100,0.008326365,0.028025565
petit cadeau pour maman,EUR,50,900%,0%,High,100,0.001676618,0.005736621
cadeaux papy et mamie,EUR,50,900%,0%,High,100,0.002116718,0.005775415
cadeau photo personnalisable,EUR,5000,0%,0%,High,100,0.006162703,0.015468046
cadeau papi et mamie,EUR,50,900%,0%,High,100,0.002031958,0.005926353
poster panoramique personnalisé,EUR,50,0%,0%,High,100,0.005808015,0.026285377
idée cadeau pour anniversaire de mariage,EUR,5000,0%,0%,High,100,0.00152405,0.006206387
porte photo bois personnalisé,EUR,50,0%,0%,High,96,0.00353058,0.012636085
coffret cadeau femme mariage,EUR,50,0%,0%,High,100,0.00428527,0.011957353
coffret cadeau noces d or,EUR,50,0%,?,High,100,0,0
porte clé coeur photo,EUR,50,900%,0%,High,100,0.003477116,0.008941201
cadeau pour offrir a sa maman,EUR,50,0%,0%,High,100,0.002715906,0.009856935
idée cadeau anniversaire de mariage parents,EUR,50,0%,0%,High,100,0,0
cadre acrylique personnalisé,EUR,50,0%,0%,High,100,0.004875003,0.014044404
produits photos personnalisés,EUR,50,0%,0%,High,79,0.008552609,0.0209869
cadeau personnalisé photobox,EUR,50,0%,0%,High,100,0.007412261,0.037848922
porte cle photo fete des peres,EUR,50,0%,0%,Unknown,,0,0
site de cadre personnalisé,EUR,50,0%,0%,High,100,0.008338753,0.024225383
idee cadeau de noel grand parents,EUR,500,0%,0%,High,100,0.001403756,0.004892933
idee original cadeau fete des meres,EUR,5000,0%,0%,High,100,0.0008965,0.009054323
bon cadeau pour maman,EUR,50,0%,0%,High,100,0.004615833,0.012540241
sweat personnalisé photo brodé,EUR,50,0%,0%,High,100,0.005968081,0.014796812
photo personnalisé original,EUR,50,900%,900%,High,100,0.005472887,0.014262824
porte clé gravure photo recto verso,EUR,50,?,0%,High,100,0,0
idée cadeau d anniversaire de mariage,EUR,50,0%,0%,High,79,0,0
photo andy warhol personnalisé,EUR,50,0%,0%,High,100,0.003000504,0.01643757
noces de perles cadeau,EUR,500,-90%,0%,High,100,0.00213856,0.007349017
cadeau cuir anniversaire de mariage,EUR,50,0%,?,High,100,0,0
noce de chypre cadeau homme,EUR,50,0%,0%,High,100,0.0014344,0.007700771
idee cadeau noce d étain,EUR,500,0%,0%,High,100,0.001247602,0.003132534
cadre avec photo personnalisée,EUR,500,0%,0%,High,100,0.008334189,0.028253765
cadeau fête des grand mère original,EUR,50,-100%,-100%,Unknown,,0,0
boîte bois personnalisée photo,EUR,50,0%,0%,High,100,0.002894228,0.008945765
cadeau arriere grand parent,EUR,50,900%,0%,High,100,0.00170987,0.005248925
photo pour porte clés,EUR,5000,900%,0%,High,100,0.004247454,0.011230373
shooter personnalisé photo,EUR,50,0%,0%,High,100,0.0032437,0.008759945
cadeau pour noce de bois,EUR,500,0%,0%,High,100,0.002116718,0.009112025
idée cadeau personnalisé avec photo,EUR,500,0%,0%,High,100,0.004519338,0.013236251
noce de coton idée cadeau,EUR,500,0%,0%,High,100,0.001991208,0.005764331
portrait personnalisé super héros,EUR,50,0%,-100%,Unknown,,0,0
porte monnaie personnalisé avec photo,EUR,50,0%,0%,High,100,0,0
petit cadeau photo,EUR,50,0%,0%,High,100,0.00446946,0.016006272
cadeau noce bois,EUR,50,0%,0%,High,100,0,0
cadeau à partir d une photo,EUR,50,0%,0%,High,100,0.004094886,0.011194513
zippo gravure photo,EUR,50,0%,0%,High,100,0,0
joyeux noel personnalisé,EUR,50,900%,0%,High,99,0.00252813,0.009898337
idee cadeau pour premiere fete des meres,EUR,50,0%,0%,Unknown,,0,0
cadeau original 1 an de mariage,EUR,50,0%,0%,High,100,0.001490146,0.004311024
cadeau mamie photo,EUR,50,0%,0%,High,100,0.005595789,0.016423878
toile naissance personnalisé,EUR,50,0%,0%,High,100,0.003673368,0.010621079
cadeau pour anniversaire mariage,EUR,5000,0%,0%,High,100,0.002073034,0.007570045
cadeau mariage personnalisé photo,EUR,50,0%,0%,High,100,0,0
cadeau a partir d une photo,EUR,50,0%,0%,High,100,0.004955851,0.010811137
cadeau personnalisé photo homme,EUR,50,900%,0%,High,100,0.003379642,0.009228081
cadeau homme noce de cuir,EUR,50,0%,0%,High,100,0,0
vaisselle personnalisée photo,EUR,50,0%,0%,High,98,0.005264573,0.012355073
porte clé photo fête des pères,EUR,50,0%,-100%,Unknown,,0,0
peignoir personnalisé avec photo,EUR,50,0%,0%,High,100,0.003768886,0.010698341
idée cadeau noce de saphir homme,EUR,50,0%,0%,High,89,0,0
cadeau photo bois,EUR,50,0%,0%,High,99,0.005115591,0.011637873
veste personnalisé photo,EUR,50,0%,0%,High,100,0.004832297,0.013021091
livre personnalisé pour noel,EUR,500,0%,0%,High,100,0.006955535,0.032264216
boussole personnalisée photo,EUR,50,0%,0%,High,100,0.003055598,0.008615527
cadre photo personnalisé fete des grand mere,EUR,50,-100%,-100%,Unknown,,0,0
créer un cadre personnalisé,EUR,50,0%,0%,High,100,0.010750175,0.024552361
cadeau original photo personnalisée,EUR,500,900%,0%,High,100,0.004681033,0.013146601
wonderbox anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
cadeau noces de soie,EUR,50,0%,0%,High,95,0.001594466,0.003809962
tee shirt avec photos,EUR,500,0%,0%,High,100,0.005404101,0.014304878
taie d oreiller avec photo,EUR,50,0%,0%,High,100,0.004676469,0.015508796
cadeau photo souvenir,EUR,50,0%,0%,High,100,0.005068973,0.014434626
box grands parents,EUR,50,0%,0%,High,100,0.004568237,0.01635607
objet noel personnalisable,EUR,50,0%,0%,High,100,0.002759916,0.010247483
miroir de poche personnalisé photo,EUR,50,0%,0%,High,100,0.003979156,0.008922619
idée cadeau pour fête des mères,EUR,50000,0%,0%,High,99,0.00231623,0.011006737
cadeau personnalisé de noel,EUR,500,900%,0%,High,100,0.00331216,0.009693609
idee de cadeau photo,EUR,50,0%,0%,High,100,0.004316566,0.010379839
photo retro personnalisé,EUR,50,0%,0%,High,100,0.007672409,0.019908818
cadeau original premiere fete des meres,EUR,50,0%,0%,Unknown,,0,0
personnalise sa coque,EUR,500,900%,0%,High,90,0.002972142,0.007963201
cadre photo personnalisé bapteme,EUR,50,0%,0%,High,100,0,0
boule de noël personnalisée couple,EUR,50,0%,-90%,High,100,0.002690478,0.008948373
cadre deco personnalisé,EUR,50,0%,0%,High,100,0.005312821,0.018755104
idée de cadeau d anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
cadeau noce de rose,EUR,50,0%,0%,High,100,0,0
idée cadeau original maman,EUR,500,900%,0%,High,100,0.001888518,0.006665721
porte chéquier personnalisé avec photo,EUR,50,0%,0%,High,100,0.00238632,0.007336955
idée cadeau nouveau grand parent,EUR,50,0%,0%,High,100,0.000788268,0.006341351
poster de porte personnalisé,EUR,50,0%,0%,High,100,0.003638486,0.010312031
cadre famille a personnaliser,EUR,50,0%,0%,High,100,0.003298142,0.013994526
photobox cadeau personnalisé,EUR,50,0%,0%,High,98,0.004498148,0.038168728
idée cadeau homme anniversaire mariage,EUR,500,-90%,-90%,High,100,0.00135453,0.004922925
cadeau noce coton homme,EUR,50,0%,0%,High,100,0,0
pinte personnalisé photo,EUR,50,0%,0%,High,100,0.004086084,0.010224663
cadeau papa photo,EUR,50,0%,0%,High,100,0.003704338,0.012456133
coque personnalisée cheerz,EUR,50,0%,0%,High,100,0.00425756,0.014312702
cadeau objet photo,EUR,50,0%,0%,High,100,0.006160421,0.018099192
briquets personnalisés photo,EUR,50,0%,0%,High,100,0.004295376,0.010861667
cadeau noce de cristal homme,EUR,50,0%,0%,High,100,0,0
anniversaire de mariage cadeau traditionnel,EUR,50,0%,0%,High,100,0,0
cadeau noce de porcelaine,EUR,500,-90%,0%,High,100,0.001966106,0.005913965
noce de froment cadeau femme,EUR,50,0%,?,High,100,0,0
cadeau pour fete des mamie,EUR,5000,0%,-90%,High,100,0.002683632,0.005520809
poster super héros personnalisé,EUR,50,0%,0%,High,100,0.002934,0.005737925
noce d étain cadeau homme,EUR,50,0%,0%,High,98,0,0
cadeau porte clé photo,EUR,50,0%,0%,High,100,0.004070436,0.016935372
imprimer une photo sur tee shirt,EUR,500,0%,0%,High,100,0.005167099,0.016763244
cadre 3d personnalisé,EUR,50,0%,-90%,High,100,0.002106938,0.010594347
cadeau noces de corail,EUR,50,0%,0%,High,100,0.001555998,0.004218114
cadeau original noce de coton,EUR,50,0%,0%,High,100,0.00129585,0.003787468
meilleur cadeau pour la fete des meres,EUR,50,-100%,0%,Unknown,,0,0
cadeau d anniversaire de mariage pour femme,EUR,50,0%,0%,High,100,0,0
idée cadeau noce de coquelicot,EUR,50,0%,0%,High,100,0.001583056,0.00434232
cadeau avec photo original,EUR,50,900%,0%,High,100,0.003739872,0.010488071
cadeau de noel avec photo personnalisé,EUR,50,0%,0%,High,100,0.006599869,0.015643434
idee cadeau papi et mamie,EUR,50,900%,0%,High,100,0.001495362,0.004776877
photo sur socle personnalisé,EUR,50,0%,0%,High,100,0.004956829,0.01518899
coffret cadeau anniversaire mariage,EUR,50,-100%,0%,Unknown,,0,0
double cadre photo personnalisé,EUR,50,0%,0%,High,98,0.006128147,0.017776778
meilleur cadeau pour une maman,EUR,50,0%,-90%,High,95,0.003044514,0.011004781
cadeau noel personnalisé photo,EUR,50,900%,0%,High,100,0.004572149,0.013996156
cadeau de noel pour papy et mamie,EUR,50,0%,-90%,High,98,0.001439616,0.005122763
porte clé couple photo,EUR,50,0%,0%,High,100,0,0
zippo personnalisable photo,EUR,50,?,0%,High,100,0,0
cadeau photo spotify,EUR,50,0%,0%,High,100,0.007550159,0.015362748
cadeaux personnalises photo,EUR,50,0%,0%,High,100,0.005928635,0.016402362
cadeau pour les 1 an de mariage,EUR,5000,0%,0%,High,100,0.002042716,0.007403133
cadre de mariage personnalisé,EUR,50,0%,0%,High,100,0,0
quoi offrir pour des noces de coton,EUR,50,0%,0%,High,100,0,0
tee shirt noel personnalisé,EUR,50,0%,-90%,High,100,0.003671412,0.011479111
idée cadeau maman original,EUR,500,900%,0%,High,100,0.001888518,0.006665721
faire un cadre photo personnalisé,EUR,50,900%,900%,High,100,0.008737451,0.027261421
idée de cadeau 1 an de mariage,EUR,500,-90%,0%,High,100,0.001692592,0.004331236
cadeau anniversaire de mariage pour homme,EUR,50,0%,0%,High,100,0,0
impression photo sur taie d oreiller,EUR,50,0%,0%,High,100,0.006162703,0.01788012
cadeau portrait de famille,EUR,50,0%,0%,High,100,0.003235224,0.013833808
boîte cadeau personnalisable photo,EUR,50,0%,0%,High,100,0,0
transat personnalisé photo,EUR,50,0%,0%,High,100,0,0
cadeau original fete des mères,EUR,5000,0%,-90%,High,78,0.001648908,0.005991879
cadeau noël femme personnalisé,EUR,50,900%,0%,High,100,0.002977358,0.008647475
idée de cadeau pour anniversaire de mariage,EUR,5000,0%,0%,High,100,0.00152405,0.006206387
cadeau personnalisé anniversaire mariage,EUR,50,0%,0%,High,100,0,0
idée cadeau papy mamie noël,EUR,50,900%,0%,High,100,0.00155665,0.004679403
idée cadeau grand parent fait main,EUR,50,0%,0%,High,98,0.000677428,0.003155354
cadeau noce de cire femme,EUR,50,0%,0%,High,100,0.00302039,0.011444881
toile personnalisée avec photo,EUR,50,0%,0%,High,100,0.007055617,0.039183892
oreiller avec photo personnalisée,EUR,50,0%,0%,High,100,0.007449099,0.01972202
boule de noël en cristal personnalisé,EUR,50,0%,0%,High,100,0.002517698,0.007442579
cadeau personnalise pour noel,EUR,500,0%,0%,High,100,0.002632776,0.008883173
boule noel personnalisée mon premier noel,EUR,50,0%,0%,High,100,0.00241403,0.007432473
miroir de poche personnalisé avec photo,EUR,50,0%,0%,High,100,0.00373596,0.008945765
cahier personnalisé photobox,EUR,50,0%,0%,High,100,0,0
cadeau pour les noces de coton,EUR,5000,-90%,0%,High,100,0.00169846,0.004963023
quoi offrir a des grands parents,EUR,50,900%,0%,High,100,0.001006688,0.004896519
carrelage personnalisé photo,EUR,50,0%,0%,High,100,0.001782568,0.006957165
cadeau noel pour grand parents,EUR,500,900%,0%,High,100,0.0016137,0.005760745
cadeau noces coton,EUR,50,0%,0%,High,100,0,0
cadeau noel personnalisable,EUR,500,0%,0%,High,100,0.003379642,0.010375275
idée cadeau noces de froment,EUR,50,0%,0%,High,100,0.001172296,0.005061475
miroir personnalisé photo,EUR,50,0%,0%,High,97,0.001516552,0.008870785
photo personnalisé saint valentin,EUR,50,?,?,High,100,0,0
idée cadeau noces de cuir,EUR,50,0%,0%,High,100,0.002859346,0.004111838
porte clef personnalisable photo,EUR,50,0%,0%,High,100,0.005621543,0.010032649
livre noel personnalise,EUR,500,0%,0%,High,100,0.006955535,0.032264216
cadeau de noel pour maman personnalisé,EUR,50,0%,-90%,High,100,0.002790886,0.013284173
tee shirt personnalisable avec photo,EUR,50,0%,0%,High,100,0.006569877,0.013719708
boîte photo personnalisée,EUR,500,0%,0%,High,100,0.006263763,0.012813429
noce de soie cadeau,EUR,500,0%,0%,High,100,0.002271568,0.007316743
t shirt personnalisé photobox,EUR,50,0%,0%,High,92,0.003745088,0.011202989
cadeaux noel personnalisé pas cher,EUR,50,0%,-90%,High,100,0.002540192,0.008550979
porte clé personnalisé avec photo et texte,EUR,50,0%,0%,High,100,0.003354214,0.009442915
cadeau de noel personnalisé avec photo,EUR,50,0%,0%,High,100,0.004790569,0.011933229
noce d étain idée cadeau,EUR,50,0%,0%,High,82,0.0009943,0.00202935
idee cadeau de noel pour grands parents,EUR,50,0%,-90%,High,100,0.001661296,0.006049581
idée cadeau pour la fête des grands mères,EUR,500,0%,0%,High,100,0,0
cadeau pour nouveau marié,EUR,50,0%,0%,High,100,0.001474498,0.004489672
personnaliser porte clé photo,EUR,50,0%,-100%,Unknown,,0,0
cadeau de noël personnalisé avec photo,EUR,50,0%,0%,High,100,0.004790569,0.011933229
cadeau noce cuir,EUR,50,0%,0%,High,100,0,0
cadeau personnalisée photo,EUR,5000,0%,0%,High,100,0.006162703,0.015468046
boite cadeau personnalisé noel,EUR,50,0%,0%,High,100,0.002236034,0.009397601
cadre coeur personnalisé,EUR,50,0%,0%,High,100,0.003121776,0.010840477
etsy photo personnalisé,EUR,50,0%,0%,High,100,0.000169194,0.012614569
idées cadeaux photos originales,EUR,50,0%,-90%,High,100,0.00329423,0.011651239
quoi offrir pour les noces de coton,EUR,50,0%,0%,High,100,0,0
meilleur cadeau pour la fête des mères,EUR,50,0%,0%,High,100,0,0
cadeau personnalisé noel femme,EUR,50,0%,0%,High,100,0.003047774,0.008836881
cadre personnalisé avec prenom,EUR,50,0%,0%,High,100,0.0039772,0.011552787
poster personnalisé texte et photo,EUR,50,-100%,0%,Unknown,,0,0
cadeau gravure photo,EUR,50,0%,0%,High,100,0.003386488,0.007337607
livraison originale fete des meres,EUR,50,0%,0%,Unknown,,0,0
imprimer photo sur taie d oreiller,EUR,50,0%,0%,High,100,0.006389925,0.012186857
cadre photo à offrir,EUR,50,0%,-90%,High,100,0.009106809,0.028221491
badge personnalisé avec photo,EUR,50,0%,0%,High,100,0.003073528,0.008858723
cadeau personnalisé boule de noel,EUR,50,0%,0%,High,100,0.004322434,0.009797277
idee cadeaux photos,EUR,5000,0%,0%,High,100,0.003416806,0.013264613
cadre photo carton personnalisable,EUR,50,0%,0%,High,100,0,0
idée cadeau pour anniversaire maman,EUR,5000,0%,0%,High,100,0.002074338,0.007759777
cube bois personnalisé photo,EUR,50,0%,0%,High,100,0,0
noce de cuir cadeau homme,EUR,50,-100%,-100%,Unknown,,0,0
cadeau noce d étain femme,EUR,50,0%,0%,High,100,0.001255752,0.004268318
ruban anniversaire personnalisé,EUR,50,0%,0%,High,100,0.005542977,0.010655961
objet personnalisé pour noel,EUR,50,0%,0%,High,100,0.002747854,0.011088563
